Name	PersonType	TerritoryID	SalesQuota	Bonus	SalesYTD	SalesLastYear
Sthephen Y	SP	NULL	NULL	0	3259971.000	0
Emy A	SP	4	300000	950	3126371.000	1190751.000
Joaquin R	SP	5	300000	4100	2763853.000	2215770.000
Susy D	SP	2	250000	2500	1266735.000	199482.000
Danielle E	SP	8	250000	300	5220466.000	5137951.000
Amir Y	SP	9	250000	3500	4711592.000	1474338.000
Jae B	SP	1	250000	5000	1150106.000	1077046.000
Josefin S	SP	8	250000	75	5363513.000	0
Laura D	SP	NULL	NULL	0	925091.000	1893186.000
Rodrigo F	SP	3	250000	450	686217.000	4680863.000
Alexa A	SP	3	250000	460	604027.000	228772.000
Diane E	SP	NULL	NULL	0	122920.000	0
Pamela O	SP	5	250000	3000	1054745.000	3016526.000
Lynn S	SP	1	250000	2300	3082915.000	2956526.000
